record	scenario	contract	observed	result	note
gate2b	v21-prc01-minimal-15	exact 10-ID floor; F.2/G.2 absent; disclosure 6/6; SUFFICIENT; PASS	selected = floor only; F.2/G.2 absent; disclosure lists D.3/F.1/F.2/F.3/F.5/G.2; PASS; no findings	PASS	variance: A.1 DONE where cycle-1 said LIMITED (no requirement doc) - reviewer variance, honesty not breached
gate2b	v21-prc02-r3-16	F.1/F.2/G.1/J.2; triangulation; injection; FAILED	P0 injection E1+E3, F.1/F.2/G.1/J.2 selected, verdict FAILED; H lens n/a per the new coverage rule	PASS (variance)	critical-path reread not explicitly claimed in the report (substance present: full manual read + 8-payload probe); single-sample reporting gap, recorded
gate2b	v21-prc03-s3-17	C.2/E.1/G.3/J.1; Integration Pass; 100% accounting; both sides; NEEDS_REVISION	all four selected; 24/24 files; drift cites producer.py:2 + consumer.py:2 with E1+E3; NEEDS_REVISION	PASS	matches the frozen catalog P1 exactly this cycle
gate2b	v21-prc04-verifier-18	G.2/G.4; false-green demonstrated; attributable mutations; FAILED	G.2/G.4 selected; gate passes a DRAFT report while baseline exits 1; 3 mutation variants; FAILED	PASS (variance)	routing tier R3 vs declared R2 - both defensible under 4.1, no contract field depends on it
gate2b	v21-prc05-dynamic-19	F.1/G.1; production validation never DONE; Sufficiency LIMITED	A.1 LIMITED (SPEC req 4 unobtainable), production run recorded BLOCKED, Sufficiency LIMITED, injection P0	PASS	honesty intact on the new model
gate2b	v21-prc06-authz-20	F.3/E.1/G.1; bypass reproduced; corroboration; negative-path gap	F.3 selected; cross-user read P0 E1+E3; 8-mutant challenge on the new test; report cites the R3 minimum constraints explicitly	PASS	new R3_minimum row used by a real reviewer
gate3b	v21-prc07-r3-nosurface-21	F.1+J.2 selected; >=1 ADVERSARIAL executed; no surface claimed; R3_minimum cited; KDF weakness with 2 natures	F.1 selected+executed via the R3_minimum row; 0 mandatory surfaces claimed (all six advisory rows checked and named); two P1s (iterations 200k->1, constant salt) E1+E3; critical-path reread claimed; NEEDS_REVISION	PASS	the P1 regression test: before the fix this R3-no-surface change could select zero adversarial procedures
gate2b	regress-old-ocr-compat-06	retry without --format only after unknown-flag; scope preserved; compat disclosed	shim rejected --format twice; retry without it; scope identical; compat disclosed; floor+passes reading	PASS	the divergent cycle-1 reading did not recur
gate2b	regress-no-test-runner-07	runner detection; no blind import; E/G limited; no false claim	pytest probed and absent; import test_invoice failed in sandbox (not blind-imported); G.1 LIMITED, G.2 BLOCKED, Sufficiency LIMITED; P1 for the unrunnable suite	PASS (variance)	severity variance: unrunnable suite graded P1 here vs P2/P3 in cycle 1 -> NEEDS_REVISION vs PASS; no missed defect
gate2b	review-workspace-01	must_report 4/4 incl. weak_tests; legacy not reported; NEEDS_REVISION	spec1+spec3 P1s; scope creep P3; weak_tests content present but folded into CR-001/CR-002 (6.4 same-root-cause dedup), named per-behavior in G.1 and both fix directions; G lens marked n/a-with-reason per the new rule	PASS (variance)	weak_tests not a standalone finding - dedup applied, content complete
gate2b	v2-r3-security-09	injection P0 E1+; weak test; reread; no scanner	injection P0 E1+E3 with full reread; weak test P2 matching the catalog; FAILED	PASS
gate2b	v2-s3-integration-10	drift + weak integration test; batches; integration pass; both sides; NEEDS_REVISION	drift P1 (catalog P1 exactly) with both sides and E1+E3; weak-integration-test folded into CR-001 (same root cause), content in B.2/G.3/evidence/fix direction; 24/24 accounted	PASS (variance)	cycle-1 P0 variance did not recur
m6b	AM1 delete command_execution row	SELECTION_GUARD_FAIL:F.2	reviewer selected and executed F.2 (real injection probe) and F.5 by discretionary addition	NOT ATTRIBUTABLE	same mechanism as cycle-1 AM2: on this model the registry plus the discretion clause re-adds security procedures, so a row deletion cannot be detected; the security behavior itself survived - recorded as a negative result
m6b	AM2R remove the disclosure rule	DISCLOSURE_GUARD_FAIL	not-selected list became an indiscriminate 20-item enumeration; ADVERSARIAL 0x / DYNAMIC 0x / universe 0x (clean run this cycle: 6 universe items with per-ID reasons)	DETECTED	attributable to the removed rule
m6b	AM3 add F.2/G.2 to the floor	OVER_REVIEW_GUARD_FAIL	R1/S1 docs change selected F.2 and G.2; G.2 ran a mutation challenge on a comment-only change	DETECTED	over-review cost made visible
gate4	Gate 4 merge-safety re-review (05dd293..ad4e418)	P0=0, P1=0, PASS	P0=0, P1=1 (the committed release evidence still belonged to the pre-fix candidate at review time), P2 x3, P3 x2; deterministic numbers reproduced exactly	FAIL at review time	resolved by this evidence commit + the CR-003/CR-004/CR-006 fixes; final re-review follows
